model,metric,mean,ci95_low,ci95_high,bootstrap_samples
RandomForest,f1_positive,0.5615888964343323,0.5441683370859214,0.5783673010020282,300
RandomForest,recall_positive,0.6071785104058897,0.5874122745263685,0.6295238765851121,300
RandomForest,precision_positive,0.5224698454340678,0.5021308274808494,0.5414310458456605,300
RandomForest,auc_roc,0.8353176772766508,0.8259711077101181,0.845407358986539,300
RandomForest,auc_pr,0.5857514661746603,0.5633181418300179,0.610642885135393,300
ExtraTrees,f1_positive,0.561598706625105,0.5418625884501255,0.5778194820427336,300
ExtraTrees,recall_positive,0.6465906520040346,0.6241666539142973,0.6664219733119378,300
ExtraTrees,precision_positive,0.4964507754681951,0.47632159277117436,0.5163408996709037,300
ExtraTrees,auc_roc,0.8356182762851996,0.8259307916211341,0.8457109495321812,300
ExtraTrees,auc_pr,0.5917221042359101,0.5685535994706404,0.6146004270615076,300
HistGradientBoosting,f1_positive,0.5764912446978265,0.5590568694654404,0.5937616169420665,300
HistGradientBoosting,recall_positive,0.6221315626017905,0.5994018875482562,0.6417677607947377,300
HistGradientBoosting,precision_positive,0.5371950956591094,0.517380953138354,0.5559117478124811,300
HistGradientBoosting,auc_roc,0.8417239104777791,0.8318031596011684,0.8509474576927658,300
HistGradientBoosting,auc_pr,0.603067047800149,0.5785231099803939,0.6262987559304276,300
HistGradientBoostingRegularized,f1_positive,0.5801095502663046,0.5618276461170076,0.5983272948387872,300
HistGradientBoostingRegularized,recall_positive,0.637234232879645,0.6146080448134692,0.6606848941519438,300
HistGradientBoostingRegularized,precision_positive,0.5324949710090062,0.5132145108150694,0.5547873171278563,300
HistGradientBoostingRegularized,auc_roc,0.8438822821549536,0.8329324518601903,0.8529377941409485,300
HistGradientBoostingRegularized,auc_pr,0.6108244844407436,0.5880301255961137,0.6349024040563112,300
GradientBoosting,f1_positive,0.5804949888337417,0.5643626662790283,0.5996607966305743,300
GradientBoosting,recall_positive,0.6283780923119212,0.6075390676889888,0.6490301932655442,300
GradientBoosting,precision_positive,0.5394906889809643,0.5191495679133824,0.5615089492864017,300
GradientBoosting,auc_roc,0.8464219955425051,0.8375372491744418,0.85589920783203,300
GradientBoosting,auc_pr,0.6221432305703792,0.6003255525894603,0.6439562797757803,300
LogisticRegression_baseline,f1_positive,0.5751001081815151,0.558206523082283,0.5909323609154717,300
LogisticRegression_baseline,recall_positive,0.6087447357798984,0.5851330765879247,0.6292106823572341,300
LogisticRegression_baseline,precision_positive,0.5451080489679195,0.5261319380305229,0.5671260938743039,300
LogisticRegression_baseline,auc_roc,0.8420635965363364,0.8325161554289428,0.8511263008639833,300
LogisticRegression_baseline,auc_pr,0.6098105510641555,0.5862766959218714,0.6318408411263375,300
XGBoostF1Balanced_cuda,f1_positive,0.5828180631243587,0.5639545764967399,0.6004433392813723,300
XGBoostF1Balanced_cuda,recall_positive,0.5863540273093326,0.5619835985755615,0.6062637097320939,300
XGBoostF1Balanced_cuda,precision_positive,0.5794330833572237,0.5588872660531485,0.6022155085599195,300
XGBoostF1Balanced_cuda,auc_roc,0.8479102535091915,0.8373820688482297,0.8576593490613558,300
XGBoostF1Balanced_cuda,auc_pr,0.624022865035314,0.6017132133949246,0.6468407623838036,300
XGBoost_cuda,f1_positive,0.5792302506142115,0.561915500422729,0.5947553716508804,300
XGBoost_cuda,recall_positive,0.6385095716741079,0.6203884117933253,0.661272602684712,300
XGBoost_cuda,precision_positive,0.5301300235150248,0.5110921126406558,0.5504814545530122,300
XGBoost_cuda,auc_roc,0.8466251516935617,0.8362028818144238,0.8558944923737317,300
XGBoost_cuda,auc_pr,0.6203691194318428,0.6005131391372117,0.6405514276797447,300
XGBoostAUC_cuda,f1_positive,0.583535047113454,0.5624688793415796,0.6030249229870808,300
XGBoostAUC_cuda,recall_positive,0.5904940504656224,0.5673428472556572,0.6142461412742224,300
XGBoostAUC_cuda,precision_positive,0.576863920550673,0.5555475604055803,0.5980427548162077,300
XGBoostAUC_cuda,auc_roc,0.8478277304183405,0.8384840217668333,0.8575629532821071,300
XGBoostAUC_cuda,auc_pr,0.6238332135526186,0.6002902937255605,0.6451157881868603,300
MLP,f1_positive,0.5651024487803507,0.5452425183679553,0.5840545195077991,300
MLP,recall_positive,0.6194405396207501,0.5984947136729626,0.6420687826345327,300
MLP,precision_positive,0.519614168433518,0.4955021008460717,0.5391690975825177,300
MLP,auc_roc,0.8397104769760991,0.8282718585754292,0.8499022421646665,300
MLP,auc_pr,0.6074218375928767,0.5845534616732975,0.6333770155995707,300
ValidationSoftVoting,f1_positive,0.58383020595819,0.5656510570584223,0.6025342896478074,300
ValidationSoftVoting,recall_positive,0.6243706482241012,0.6038699315776737,0.6479904845214544,300
ValidationSoftVoting,precision_positive,0.5483383454557488,0.5283928597969709,0.5697435334639022,300
ValidationSoftVoting,auc_roc,0.8468279536682658,0.8377355695371174,0.8567505505930735,300
ValidationSoftVoting,auc_pr,0.622049801243842,0.6009680108476143,0.6410942017750447,300
